rowname,FA_A,SC_A,FA_B,SC_B
FA_A,1,0.2970505291351,0.1718413598406699,0.10887335137252584
SC_A,0.2970505291351,1,0.010880243284685743,0.17820267422853964
FA_B,0.17184135984066987,0.010880243284685742,1,0.3763071553870675
SC_B,0.10887335137252582,0.17820267422853964,0.3763071553870675,1
