Domain,Pairs,r_twin_PP,lower.ci,upper.ci
scenes val.,UR,0.7363884069357562,0.7270104988162435,0.7454916351069958
scenes val.,DZ,0.7595274021912377,0.7421546693493051,0.7758802010797708
scenes val.,MZ,0.7915414137622195,0.7812744299271791,0.8013802026690005
faces val.,UR,0.5927872984959068,0.5822418866335456,0.6031332828111774
faces val.,DZ,0.6297672162155826,0.6122529189040972,0.6466637806430638
faces val.,MZ,0.6809695817762287,0.6695476963917616,0.6920694915273272
