VA_places,VA_faces,VC_places,VC_faces,VE_places,VE_faces,SA_places,SA_faces,SC_places,SC_faces,SE_places,SE_faces,sample,facet
0.325,0.12,0,0,0.68,0.158,0.324,0.431,0,0,0.676,0.569,Sutherland et al. 2020,t-t
0.12,0.3,0,0,0.158,0.705,0.431,0.299,0,0,0.569,0.701,Sutherland et al. 2020,t-t
