rowname,FA_A,SC_A,FA_B,SC_B
FA_A,1,0.27528568967257083,0.320628179825146,0.11698763779926913
SC_A,0.2752856896725708,1,0.05082801903032426,0.2717422376943658
FA_B,0.320628179825146,0.05082801903032426,1,0.1998857880127312
SC_B,0.11698763779926913,0.2717422376943658,0.1998857880127312,1
