trait,lbound,estimate,ubound,sample,facet,correlation
scenes-faces,-0.0535,0.2214,0.445,Sutherland et al. 2020,e-b res.,rA
scenes-faces,0.2859,0.3783,0.4634,Sutherland et al. 2020,e-b res.,rE
