VA_scenes,VA_faces,VC_scenes,VC_faces,VE_scenes,VE_faces,SA_scenes,SA_faces,SC_scenes,SC_faces,SE_scenes,SE_faces,sample,facet
0.301,0.064,0,0,0.703,0.27,0.3,0.192,0,0,0.7,0.808,Sutherland et al. 2020,e-b res.
0.064,0.277,0,0,0.27,0.724,0.192,0.277,0,0,0.808,0.723,Sutherland et al. 2020,e-b res.
