refCode,Pairs,Domain,r_twin_PP,z_twin_PP
02394_UR,UR,scenes val.,0.8616365711008847,1.2996637452856687
02397_UR,UR,scenes val.,0.5756885784052077,0.6559899889168969
02398_UR,UR,scenes val.,0.8217608669947397,1.1622163645722623
02410_UR,UR,scenes val.,0.597934697436604,0.68992637034683435
02425_UR,UR,scenes val.,0.7886589445946715,1.0678741101056142
02433_UR,UR,scenes val.,0.7441459037979793,0.9597064580555826
02438_UR,UR,scenes val.,0.6996281330353655,0.8665717486268611
02471_UR,UR,scenes val.,0.7957144679067297,1.086819785820726
02477_UR,UR,scenes val.,0.8467860118941243,1.2446832785259954
02479_UR,UR,scenes val.,0.7166811895616066,0.9007876813331962
02494_UR,UR,scenes val.,0.5767517272972802,0.6575816005254392
02509_UR,UR,scenes val.,0.46918879331666685,0.5090296355594259
02519_UR,UR,scenes val.,0.6722519042479445,0.8148405650836621
02550_UR,UR,scenes val.,0.8110375997929439,1.130053582499293
02556_UR,UR,scenes val.,0.7472388778412822,0.9666735876489488
02564_UR,UR,scenes val.,0.8009221207715482,1.1011790004768491
02571_UR,UR,scenes val.,0.7537182075916354,0.9815085625312641
02581_UR,UR,scenes val.,0.7510825593105195,0.9754341014955701
02587_UR,UR,scenes val.,0.4907645649384274,0.5370669721144482
02588_UR,UR,scenes val.,0.7718572284794526,1.0249059666125826
02604_UR,UR,scenes val.,0.6999133023831998,0.867130552591838
02615_UR,UR,scenes val.,0.8327225619295308,1.1969520696109825
02618_UR,UR,scenes val.,0.7046485341973552,0.8764740867461497
02626_UR,UR,scenes val.,0.7351288329958112,0.9397966997152354
02627_UR,UR,scenes val.,0.5659224237892487,0.6415035361785428
02640_UR,UR,scenes val.,0.7525203585965786,0.9787409570299457
02642_UR,UR,scenes val.,0.6462600412574152,0.768849644568637
02650_UR,UR,scenes val.,0.5636211201161783,0.6381243923190936
02651_UR,UR,scenes val.,0.7445079457525939,0.9605182525186131
02655_UR,UR,scenes val.,0.7771581390347393,1.0381542200454528
02660_UR,UR,scenes val.,0.7531560406289,0.9802082504408619
02662_UR,UR,scenes val.,0.807873030031783,1.1208749281759791
02665_UR,UR,scenes val.,0.7096635447959662,0.8865057159348192
02666_UR,UR,scenes val.,0.7344363816016185,0.9382916791021093
02667_UR,UR,scenes val.,0.6369772968207977,0.7530706665004021
02678_UR,UR,scenes val.,0.8318156815875549,1.19400120914285
02687_UR,UR,scenes val.,0.7477997116711,0.9679447007207751
02700_UR,UR,scenes val.,0.7874405616327895,1.0646591812828072
02704_UR,UR,scenes val.,0.7194693464875631,0.9065440010226936
02715_UR,UR,scenes val.,0.679122262220237,0.827483150757742
02720_UR,UR,scenes val.,0.7687028840655684,1.0171493114159338
02724_UR,UR,scenes val.,0.6873465330259655,0.8429085161365228
02732_UR,UR,scenes val.,0.6481003666946353,0.7720163042253253
02746_UR,UR,scenes val.,0.5438446464150849,0.6095988343679445
02747_UR,UR,scenes val.,0.8557816054587699,1.2773662287676237
02748_UR,UR,scenes val.,0.7731422963019033,1.0280927976228484
02752_UR,UR,scenes val.,0.748260709995132,0.9689913520900285
02761_UR,UR,scenes val.,0.7616317130931709,1.0000894333102572
02766_UR,UR,scenes val.,0.8189868237648974,1.1537325546634751
02781_UR,UR,scenes val.,0.7094280959876859,0.8860315414934938
02782_UR,UR,scenes val.,0.676181497494735,0.8220451929293644
02783_UR,UR,scenes val.,0.8070653663091116,1.118554008939581
02794_UR,UR,scenes val.,0.6404635989169569,0.7589593681756147
02800_UR,UR,scenes val.,0.8023805248607332,1.1052601225451786
02806_UR,UR,scenes val.,0.7611616751810322,0.9989710275916052
02814_UR,UR,scenes val.,0.6211689063237861,0.7269061362641281
02826_UR,UR,scenes val.,0.7468574688462117,0.9658105131141627
02828_UR,UR,scenes val.,0.5588530248373428,0.6311637461988133
02829_UR,UR,scenes val.,0.8188995784297788,1.153467638627944
02834_UR,UR,scenes val.,0.7381924361525096,0.9464956388467122
02835_UR,UR,scenes val.,0.6819758772683132,0.8327986305923456
