Sub,mm2_r,mm2_z
00002-A,0.941183098748359,1.74831183051911
00003-A,0.944444872955887,1.7776779975512
00005-A,0.713774530168104,0.894836844112916
00007-A,0.861734318706177,1.30004335031337
00010-A,0.799397367262177,1.09694054605212
00012-A,0.902291035598635,1.48441046887896
00014-A,0.937005889322578,1.71292873156312
00015-A,0.940567170608506,1.74294440412979
00016-A,0.921651746353024,1.59988835016021
00017-A,0.910200246738591,1.52869056455551
00028-A,0.851647779177912,1.2621209481563
00029-A,0.909393444499898,1.52400716766796
00048-A,0.830274566183329,1.1890196172825
00051-A,0.805938818219753,1.11533118855121
00058-A,0.785536213383078,1.05966657580136
00078-A,0.835650011381551,1.20657784827079
00113-A,0.580583541081396,0.663342512985931
00128-A,0.88526731444656,1.39960997603632
00138-A,0.927385848481804,1.63938002688886
00150-A,0.895466509516118,1.44885638161156
00173-A,0.838497892494739,1.21609298113857
00186-A,0.839210358501175,1.21849733468589
00188-A,0.87946854411086,1.37341678148475
00194-A,0.838368478317083,1.21565728685198
00198-A,0.777816847367024,1.03981967334543
00239-A,0.670889598536368,0.812359098040006
00256-A,0.932454682521991,1.67687379367447
00264-A,0.809312907359614,1.12503430839496
00286-A,0.949928726714308,1.83105032217835
00296-A,0.894543822772975,1.44421893844072
00307-A,0.80193751872681,1.10401761068673
00310-A,0.916164971380707,1.56461506701567
00313-A,0.779936851761738,1.04520931175342
00352-A,0.85140252996127,1.26122882415867
00359-A,0.877932902640477,1.36667802956457
00360-A,0.803656804409679,1.10885365756783
00364-A,0.829724772655588,1.18725236239096
00379-A,0.716712353507697,0.900851759094557
00394-A,0.809170075898014,1.12462045793522
00407-A,0.76256823121301,1.0023234769004
00422-A,0.855524322283539,1.27640570777047
00430-A,0.741126315023073,0.952973625168957
00450-A,0.671077211566665,0.812700348360387
00467-A,0.921929918634005,1.60173911189295
00473-A,0.862295441828864,1.30222730347889
00478-A,0.881285895975666,1.38149634695721
00500-A,0.908418096073025,1.5183981295715
00505-A,0.758958455375087,0.99375391158435
00545-A,0.886635963043573,1.40597320090933
00550-A,0.886197283441627,1.40392583456716
00561-A,0.845049319836753,1.23857720697304
00613-A,0.891228958093433,1.42786849953346
00617-A,0.941147077692039,1.7479964325598
00621-A,0.884626008587204,1.39665286264885
00630-A,0.909370859063282,1.52387663419624
00679-A,0.777455908177732,1.0389065541882
00681-A,0.891958849959006,1.43142791321456
00684-A,0.815636750676458,1.143641759706
00698-A,0.914430185783995,1.55392136046435
00711-A,0.908942071010613,1.52140429588936
00714-A,0.792650449430823,1.07852224124849
00726-A,0.923154872940306,1.60996510999205
00728-A,0.788949880473936,1.06864421458081
00729-A,0.842365390144248,1.22926290206528
00773-A,0.863401302308666,1.30655567027583
00777-A,0.635158499883106,0.750016003721065
00791-A,0.838384790800685,1.21571218800319
00826-A,0.848851239006315,1.25202762465924
00842-A,0.895326232787919,1.44814886133006
00858-A,0.830796286665916,1.19070144358477
00870-A,0.732297393920681,0.933663547163326
