Domain,Component,Value,CI_low,CI_high,Repeatable,Error,mBi
FA,Obj,0.36925452467050035,0.30346557491810516,0.418092157755812,0.8458216996254471,0.15417830037455293,0.549662087978481
FA,Sub,0.22657715479929427,0.1998123160447135,0.2545971568030839,0.8458216996254471,0.15417830037455293,0.549662087978481
FA,Block,4.7653816530680046e-4,0,0.0031045336087300868,0.8458216996254471,0.15417830037455293,0.549662087978481
FA,SubXObj,0.23049824182158082,0.21015873296550155,0.2557773903512613,0.8458216996254471,0.15417830037455293,0.549662087978481
FA,SubXBlock,0.007840724852755767,0.0063918680008176205,0.009258175961973569,0.8458216996254471,0.15417830037455293,0.549662087978481
FA,ObjxBlock,0.011651053481315746,0.007382798813722172,0.016642843109826673,0.8458216996254471,0.15417830037455293,0.549662087978481
FA,Residual,0.15370176220924614,0.1396324197725622,0.17010656734723517,0.8458216996254471,0.15417830037455293,0.549662087978481
SC,Obj,0.6168556092163446,0.501410683284559,0.6949270232426974,0.9165906150540823,0.08340938494591765,0.31961483025648896
SC,Sub,0.07935190979354945,0.0618604567008718,0.10723287220856176,0.9165906150540823,0.08340938494591765,0.31961483025648896
SC,Block,4.5713947254859267e-4,0,0.003168249213170292,0.9165906150540823,0.08340938494591765,0.31961483025648896
SC,SubXObj,0.2096862398912885,0.165702938573288,0.27059585835799294,0.9165906150540823,0.08340938494591765,0.31961483025648896
SC,SubXBlock,0.00391780416036337,0.0028564092021457145,0.005601187962371643,0.9165906150540823,0.08340938494591765,0.31961483025648896
SC,ObjxBlock,0.006779051992536369,0.0032381104469228717,0.01142620589808245,0.9165906150540823,0.08340938494591765,0.31961483025648896
SC,Residual,0.08295224547336917,0.06510438297338,0.1079213786497994,0.9165906150540823,0.08340938494591765,0.31961483025648896
