trait,lbound,estimate,ubound,sample,facet,correlation
places-faces,0.1393,0.384,0.5998,Sutherland et al. 2020,t-t,rA
places-faces,0.1272,0.229,0.3258,Sutherland et al. 2020,t-t,rE
