rowname,FA_A,SC_A,FA_B,SC_B
FA_A,1,0.18508715903638925,0.07079902890966244,0
SC_A,0.18508715903638925,1,0.11277554260615807,0.1543481995247604
FA_B,0.07079902890966244,0.11277554260615807,1,0.4081490778509287
SC_B,0,0.1543481995247604,0.4081490778509287,1
