trait,lbound,estimate,ubound,sample,facet,correlation
scenes-faces,0.1141,0.3457,0.5408,Sutherland et al. 2020,e-b,rA
scenes-faces,0.294,0.3865,0.4719,Sutherland et al. 2020,e-b,rE
