rowname,FA_A,SC_A,FA_B,SC_B
FA_A,1,0.2381754450945954,0.19080397094291043,0.05478855859848696
SC_A,0.2381754450945954,1,0,0.13463441943133925
FA_B,0.19080397094291043,0,1,0.35073279030825033
SC_B,0.05478855859848697,0.13463441943133928,0.35073279030825033,1
