rowname,FA_A,SC_A,FA_B,SC_B
FA_A,1,0.2703236813076822,0.30578326410645135,0.1014436906564936
SC_A,0.2703236813076822,1,0.04175084964679366,0.2637915718117857
FA_B,0.30578326410645135,0.04175084964679366,1,0.19471761426520526
SC_B,0.1014436906564936,0.26379157181178564,0.19471761426520526,1
