contrast,dif_emmean_z,dif_emmean_r,lower.CL_z,upper.CL_z,lower.CL_r,upper.CL_r,df,t.ratio,p.value,effect.size,e.s_lower.CL,e.s_upper.CL
DZ - MZ,-0.085,-0.085,-0.121,-0.05,-0.12,-0.05,1836,-5.748,3.1672315166176573e-8,-0.407,-0.547,-0.268
UR - DZ,-0.056,-0.056,-0.09,-0.022,-0.089,-0.022,1836,-3.969,2.252153253882778e-4,-0.267,-0.399,-0.135
UR - MZ,-0.141,-0.14,-0.167,-0.115,-0.165,-0.115,1836,-13.028,1.0717589211808454e-36,-0.674,-0.778,-0.57
