VA_scenes,VA_faces,VC_scenes,VC_faces,VE_scenes,VE_faces,SA_scenes,SA_faces,SC_scenes,SC_faces,SE_scenes,SE_faces,sample,facet
0.302,0.099,0,0,0.702,0.168,0.301,0.37,0,0,0.699,0.63,Sutherland et al. 2020,e-b res.
0.099,0.286,0,0,0.168,0.717,0.37,0.285,0,0,0.63,0.715,Sutherland et al. 2020,e-b res.
