Item,Value,FamId,is_repeated
sc079,1,00005,1
sc146,2,00005,1
sc021,5,00005,1
sc103,1,00005,2
sc198,1,00005,1
sc176,9,00005,1
sc188,9,00005,1
sc034,9,00005,1
sc164,1,00005,2
sc008,8,00005,1
sc015,9,00005,1
sc089,1,00005,1
sc116,1,00005,1
sc047,NA,00005,2
sc085,1,00005,1
sc032,NA,00005,2
sc149,5,00005,1
sc080,9,00005,1
sc194,9,00005,1
sc120,5,00005,1
sc108,1,00005,2
sc001,1,00005,2
sc015,NA,00005,2
sc151,NA,00005,2
sc108,1,00005,1
sc075,8,00005,1
sc053,9,00005,1
sc051,1,00005,2
sc079,1,00005,2
sc001,2,00005,1
sc048,1,00005,2
sc184,NA,00005,2
sc088,1,00005,1
sc082,NA,00005,2
sc162,NA,00005,2
sc115,NA,00005,2
sc164,1,00005,1
sc122,1,00005,1
sc049,9,00005,1
sc143,9,00005,2
sc025,1,00005,1
sc103,6,00005,1
sc170,1,00005,1
sc065,9,00005,1
sc048,1,00005,1
sc050,9,00005,2
sc080,9,00005,2
sc050,9,00005,1
sc051,1,00005,1
sc165,9,00005,2
sc025,1,00005,2
sc165,9,00005,1
sc013,9,00005,1
sc149,9,00005,2
sc116,1,00006,1
sc108,7,00006,1
sc189,9,00006,2
sc047,9,00006,1
sc146,4,00006,1
sc120,NA,00006,2
sc074,NA,00006,2
sc046,3,00006,1
sc049,4,00006,1
sc050,5,00006,2
sc120,1,00006,1
sc146,NA,00006,2
sc151,NA,00006,2
sc032,9,00006,1
sc051,2,00006,2
sc002,9,00006,1
sc176,NA,00006,2
sc142,NA,00006,2
sc085,NA,00006,2
sc082,1,00006,1
sc188,6,00006,2
sc065,7,00006,2
sc108,5,00006,2
sc088,4,00006,2
sc020,4,00006,1
sc122,1,00006,2
sc074,1,00006,1
sc047,NA,00006,2
sc122,3,00006,1
sc053,9,00006,1
sc142,2,00006,1
sc053,9,00006,2
sc103,7,00006,2
sc020,NA,00006,2
sc176,3,00006,1
sc046,NA,00006,2
sc001,4,00006,2
sc116,NA,00006,2
sc194,9,00006,1
sc032,NA,00006,2
sc161,9,00006,1
sc184,4,00006,1
sc001,5,00006,1
sc143,7,00006,2
sc025,1,00006,2
sc082,NA,00006,2
sc034,NA,00006,2
