Pairs,emmean_z,lower.CL_z,upper.CL_z,emmean_r,lower.CL_r,upper.CL_r
UR,0.812,0.794,0.83,0.671,0.661,0.681
DZ,0.868,0.836,0.9,0.7,0.684,0.717
MZ,0.953,0.931,0.975,0.741,0.731,0.751
