parameter,lbound,estimate,ubound,expected_full,expected_reduced
vZ,0.0689,0.0747,0.0812,ADE,AE
cMZ21,0.0125,0.0214,0.0302,ADE,AE
cDZ21,-4e-4,0.0101,0.0204,ADE,AE
"MZ.corMZ[2,1]",0.1704,0.2864,0.3905,ADE,AE
"DZ.corDZ[2,1]",-0.0057,0.1352,0.2676,ADE,AE
mZ,-0.2759,-0.1793,-0.0832,ADE,AE
