contrast,Domain,dif_emmean_z,dif_emmean_r,lower.CL_z,upper.CL_z,lower.CL_r,upper.CL_r,df,t.ratio,p.value,effect.size,e.s_lower.CL,e.s_upper.CL
DZ - MZ,faces val.,-0.09,-0.09,-0.146,-0.034,-0.145,-0.034,1836,-4.225,1.5051849186999288e-4,-0.43,-0.629,-0.23
DZ - MZ,scenes val.,-0.08,-0.08,-0.135,-0.026,-0.134,-0.026,1836,-3.9,5.98158574976488e-4,-0.384,-0.578,-0.191
UR - DZ,faces val.,-0.059,-0.059,-0.112,-0.006,-0.112,-0.006,1836,-2.923,0.021052621342130578,-0.282,-0.472,-0.093
UR - DZ,scenes val.,-0.053,-0.053,-0.104,-0.001,-0.104,-0.001,1836,-2.686,0.04373544978703747,-0.251,-0.435,-0.068
UR - MZ,faces val.,-0.149,-0.148,-0.19,-0.108,-0.188,-0.108,1836,-9.614,1.3283176120617517e-20,-0.712,-0.859,-0.565
UR - MZ,scenes val.,-0.133,-0.132,-0.173,-0.093,-0.171,-0.093,1836,-8.802,1.8215704730337498e-17,-0.636,-0.779,-0.493
