rowname,FA_A,SC_A,FA_B,SC_B
FA_A,1,0.20353988758879077,0.10877689757586304,0.048851692952604886
SC_A,0.20353988758879077,1,0.11750482568117689,0.16758385270075435
FA_B,0.10877689757586304,0.11750482568117689,1,0.42710661893516955
SC_B,0.048851692952604886,0.16758385270075432,0.42710661893516955,1
