trait,lbound,estimate,ubound,sample,facet,correlation
scenes-faces,0.0657,0.3356,0.5675,Sutherland et al. 2020,e-b res.,rA
scenes-faces,0.1361,0.237,0.3338,Sutherland et al. 2020,e-b res.,rE
