Sub,mm2_r,mm2_z
00002-A,0.864679749950299,1.31160020486899
00003-A,0.83337557976222,1.19908591337199
00005-A,0.671949452439794,0.814288928233676
00007-A,0.83688309650462,1.21067915091168
00010-A,0.461912848607216,0.499740244489074
00012-A,0.800255945361008,1.0993236527249
00014-A,0.726493150135802,0.92126044129034
00015-A,0.798800340494214,1.0952887491396
00016-A,0.58555832830756,0.670879818448803
00017-A,0.811940163588781,1.1326966363913
00029-A,0.732761336117465,0.934664715846284
00048-A,0.78868219697517,1.06793562454634
00051-A,0.70893098731888,0.885031452179001
00058-A,0.766362091366718,1.01145243849992
00078-A,0.734960732692845,0.939431033072356
00113-A,0.740522250611416,0.95163476822076
00128-A,0.799773341599343,1.09798299888055
00138-A,0.734673923359926,0.938807593417786
00150-A,0.77662183658246,1.03680143009366
00173-A,0.802837611303623,1.10654472801418
00186-A,0.711182161128059,0.88957177944121
00188-A,0.658268609306835,0.789752154730221
00194-A,0.550528927475983,0.619139949090158
00198-A,0.583283024502409,0.667424279161735
00239-A,0.891638689816303,1.4298638279384
00256-A,0.771681704444551,1.02447190072757
00264-A,0.783810163205283,1.05517500048422
00286-A,0.874473838147604,1.35178454077335
00296-A,0.859587672293716,1.29176338432839
00307-A,0.658342216719247,0.789882057656684
00310-A,0.761351290296971,0.999421967615661
00313-A,0.595722060234647,0.686489501993468
00352-A,0.775984327744296,1.03519704210503
00359-A,0.822405751306058,1.16420565101547
00360-A,0.844809502653016,1.23773896155457
00364-A,0.756173705931732,0.987218314233553
00379-A,0.657574649368625,0.788528539393255
00394-A,0.770495192959961,1.02154529074197
00407-A,0.70026839689715,0.867826990110841
00422-A,0.738538393124959,0.947256290681923
00430-A,0.627937787379089,0.738004126586525
00467-A,0.827953331765712,1.18159322753254
00473-A,0.599773235974378,0.692792937064166
00478-A,0.502791910800461,0.553035650960452
00500-A,0.747984743428636,0.968364600266523
00505-A,0.70071100064264,0.868696009333281
00545-A,0.604365221863831,0.699995974337892
00550-A,0.758388385055693,0.992410719108378
00561-A,0.750942700284542,0.975113309212393
00613-A,0.788717977074098,1.06803029287103
00617-A,0.781471840218307,1.04914014709408
00621-A,0.820537865092156,1.15846151429682
00630-A,0.714913334517205,0.897162300528902
00679-A,0.786238811704369,1.06150400815371
00681-A,0.852935156331358,1.26682631443963
00684-A,0.68530042666184,0.839040336676221
00698-A,0.81059007612538,1.12874725213946
00711-A,0.565334424383459,0.640638913058529
00714-A,0.638402316929688,0.755472313963323
00726-A,0.792190955582468,1.07728727277373
00728-A,0.645274845138185,0.767159725196368
00729-A,0.833921699678671,1.20087629616736
00773-A,0.855830808833179,1.27755010081141
00777-A,0.660399249867464,0.793521350547492
00791-A,0.705500420533947,0.878168136651143
00826-A,0.584218817038232,0.668843792762777
00842-A,0.794553944125468,1.08366413664868
00858-A,0.665837189013562,0.803227380009168
00870-A,0.767608055228746,1.01447858353908
00904-A,0.779554569894156,1.04423409429655
00934-A,0.765843369663718,1.01019671661674
01013-A,0.488734400445373,0.534396211428275
01014-A,0.804496111376204,1.11122819961748
01023-A,0.764715293109816,1.00747417490342
01026-A,0.829641695346408,1.18698576915951
01027-A,0.82376715924395,1.16842671451109
01040-A,0.782261722679298,1.05117234432478
01045-A,0.708329491103991,0.883823247632814
01065-A,0.750791594372037,0.97476689374513
01077-A,0.692477030182284,0.85269932505574
01086-A,0.714545978963639,0.89641131014241
01092-A,0.775876636088028,1.03492641373478
01105-A,0.764070290872222,1.00592258261166
01122-A,0.669352524531304,0.809569170667497
01153-A,0.804615179557229,1.11156579952767
01291-A,0.74366893616384,0.958638464582178
01313-A,0.663047594111889,0.798232703326654
01314-A,0.774015018185755,1.03026604181897
01319-A,0.865720365739687,1.31573903209506
01357-A,0.852479991169488,1.26515836822787
01360-A,0.771685892143059,1.02448225339977
01392-A,0.614607583795312,0.716292572950158
01403-A,0.743990714722269,0.959358782944838
01438-A,0.571469929719356,0.649702905015711
01443-A,0.70857219123288,0.884310502009506
01445-A,0.794937343760925,1.08470491084991
01495-A,0.730980511209374,0.930829735205266
01519-A,0.824544241567067,1.17084929087777
01544-A,0.595552566709964,0.686226809381114
01569-A,0.723736831066542,0.915447933667432
01583-A,0.806419677101493,1.11670477728621
01587-A,0.818608700307487,1.15258523141106
01594-A,0.788607849291525,1.06773895785606
01598-A,0.593654117976938,0.683290061371908
01612-A,0.760622053108017,0.997689397109066
01614-A,0.801573955665326,1.10299976176625
01662-A,0.718075799554039,0.903660990160144
01673-A,0.687743513880955,0.843661397934592
01682-A,0.797093244371422,1.0905896163549
01698-A,0.636208009586147,0.751777202458537
01710-A,0.753892202645766,0.981911536226679
01715-A,0.778066868605905,1.04045294884671
01730-A,0.685794770103565,0.83997301721662
01732-A,0.790040038589837,1.07153820696199
01734-A,0.839132426213324,1.21823386422651
01740-A,0.767302029747493,1.01373401901014
01745-A,0.78029356171277,1.04612063406706
01748-A,0.687403252602781,0.843016038189132
01753-A,0.845933550574714,1.24167820942662
01754-A,0.735837975742833,0.941341457890111
01843-A,0.760565333503865,0.997554830141953
01845-A,0.84347491724447,1.23309567059713
01880-A,0.827112838090745,1.17892658874123
01882-A,0.837750274989031,1.2135803825763
01898-A,0.789118511038612,1.06909100680648
01911-A,0.649807828861312,0.774966014276896
01931-A,0.647081653484977,0.770261794430897
01937-A,0.83740297673947,1.21241676905158
01989-A,0.799890526254956,1.09830826888292
01999-A,0.719436855830808,0.906476647132678
02000-A,0.853811162832624,1.2700498478911
02009-A,0.701852475065242,0.870942106925741
02036-A,0.779276953812859,1.04352681204375
02063-A,0.666542848356108,0.80449611636434
02068-A,0.431815215912927,0.462125805057835
02070-A,0.577404942790391,0.658560962747012
02089-A,0.67103493336631,0.812623434679406
02123-A,0.818998898314764,1.15376922747877
02124-A,0.743604133541651,0.958493493797964
02131-A,0.753417881260921,0.980813580123642
02132-A,0.737259892201342,0.944449508011554
02135-A,0.837208178896126,1.21176509544088
02138-A,0.847358748254515,1.24671089299061
02152-A,0.747049563202078,0.966245056322372
02160-A,0.440366394133266,0.472685253108069
02182-A,0.754000941941044,0.982163501530064
02210-A,0.799668709014447,1.09769271266493
02211-A,0.805926576356891,1.11529625895387
02228-A,0.836221943337349,1.20847662490436
02243-A,0.537384147482693,0.600470314048465
02247-A,0.849720181314374,1.25514531954708
02255-A,0.860521581251233,1.29535113122044
02270-A,0.664028522567984,0.799985247217906
02277-A,0.687843818010178,0.843851750069777
02294-A,0.696312429483845,0.860106285258992
02295-A,0.849287054352403,1.25358923119632
02296-A,0.825068721180799,1.17248985820562
02303-A,0.706471121967027,0.8801034097327
02308-A,0.797549200040911,1.0918412833656
02312-A,0.789346441142545,1.06969541627686
02315-A,0.774869400452801,1.03240072287401
02330-A,0.585480457638308,0.670761323964686
02337-A,0.819152531763831,1.15423603534246
02340-A,0.588550619545833,0.675445659584129
02342-A,0.840613826207284,1.22326218632155
02349-A,0.845777757407057,1.24113066028035
02351-A,0.83136347941833,1.19253520310638
02362-A,0.803232621725569,1.10765701203164
02363-A,0.677340135619827,0.824182924100662
02380-A,0.767273680769352,1.01366508856743
02385-A,0.68347628905759,0.835608999660071
02387-A,0.840610043863487,1.22324929364849
02394-A,0.785105076823773,1.05854168990075
02397-A,0.861137089532301,1.29772786377086
02398-A,0.83868904935687,1.21673712537851
02410-A,0.765413059564968,1.0091568513846
02425-A,0.914391670360749,1.55368629912856
02433-A,0.837672821958551,1.21332068167221
02438-A,0.847978089322555,1.24891136802633
02467-A,0.717527788218084,0.902530511524231
02468-A,0.681555810716317,0.83201374594001
02471-A,0.771637082176886,1.02436159749088
02477-A,0.874811411299936,1.353221021381
02479-A,0.782601669045,1.05204894531828
02494-A,0.506002389833196,0.557341657888006
02506-A,0.756622918576034,0.98826821626615
02509-A,0.825947019623548,1.17524715424926
02510-A,0.799319483906329,1.09672481828307
02519-A,0.841576364644204,1.22655226119469
02538-A,0.720797496796781,0.909302893401372
02550-A,0.654917981199615,0.783862301982782
02556-A,0.529741727652828,0.589786067636805
02571-A,0.808934622733015,1.12393884295172
02581-A,0.797396619187821,1.09142214773651
02587-A,0.829455730735204,1.18638943994817
02588-A,0.869008052882242,1.3290136335882
02604-A,0.679905586813285,0.828938439503268
02615-A,0.658296168333535,0.789800788510184
02618-A,0.594469323530567,0.684549862835524
02626-A,0.811041684628889,1.13006551897064
02627-A,0.730452880468565,0.929697609111396
02630-A,0.719304637131845,0.906202621990387
02640-A,0.82091005652225,1.15960176449131
02642-A,0.737686315646427,0.945384373792469
02650-A,0.878209111007549,1.3678842259118
02651-A,0.86496882225562,1.31274695830992
02655-A,0.802018042502996,1.10424327390797
02660-A,0.645086506931886,0.766837085667668
02662-A,0.688889615718616,0.845839388635913
02665-A,0.650477177027966,0.776125430981038
02666-A,0.777561264350904,1.03917295468588
02667-A,0.725773846548129,0.919738846026615
02678-A,0.740611030327725,0.951831374453438
02679-A,0.783958787630485,1.05556051213879
02687-A,0.784439674532418,1.0568094670876
02694-A,0.765423866592998,1.00918294683436
02700-A,0.609512370763825,0.708145123657687
02704-A,0.660214460447671,0.793193706737793
02715-A,0.793747902077274,1.081481656512
02719-A,0.672597475735828,0.815471348411052
02720-A,0.759389407095365,0.994771135222815
02724-A,0.864754658474263,1.31189714965384
02732-A,0.819081236323087,1.154019363175
02736-A,0.80864433341176,1.12309951569756
02747-A,0.821021021336052,1.159942131095
02748-A,0.734499002086355,0.938427645891205
02752-A,0.857090307913964,1.28227664217928
02761-A,0.565134395523594,0.640344973447769
02766-A,0.750480585480513,0.974054461810646
02775-A,0.761315600150921,0.999337066151463
02781-A,0.853526354207583,1.26899986051729
02782-A,0.796187957971059,1.08811184525974
02783-A,0.827099325301524,1.17888381260811
02785-A,0.858086925079041,1.28604399039028
02794-A,0.675048051924764,0.819959906120807
02800-A,0.733924440971814,0.93718112823071
02806-A,0.728635598388719,0.925812565921423
02807-A,0.804951136074116,1.1125193437827
02814-A,0.791623283184108,1.07576488494616
02826-A,0.771465063958714,1.02393655567024
02827-A,0.777102620217369,1.03801404521353
02828-A,0.608632892602032,0.706746974563975
02829-A,0.827293606194973,1.17949912019022
02834-A,0.825821119372397,1.1748511362675
02840-A,0.747647942255854,0.967600481409748
02847-A,0.60353239820106,0.698684948169931
02855-A,0.51189298890593,0.565291556429599
02857-A,0.792982369585909,1.07941583996105
02861-A,0.815299972733447,1.14263648622231
02868-A,0.868249829721413,1.32592493590465
02872-A,0.822837957466813,1.16554253729268
02878-A,0.778345198675523,1.04115866225992
02884-A,0.777587397167417,1.03923905043717
02886-A,0.625315386698088,0.73368625957175
02899-A,0.769231068258088,1.01844169603118
02910-A,0.752914863573814,0.979651179242738
02912-A,0.76873298338637,1.01722289080174
02919-A,0.77410320160444,1.03048604249485
02921-A,0.792658506113608,1.07854391654332
02924-A,0.773530009680841,1.02905737607979
02926-A,0.794795992662519,1.08432099965478
02933-A,0.794875996577245,1.08453826242041
02937-A,0.899607868371722,1.47015946241822
02938-A,0.66026767031527,0.793288036804401
02940-A,0.765997659658973,1.01056996958827
02941-A,0.765840200057594,1.01018905105282
02942-A,0.79411527715045,1.08247544163366
02944-A,0.82843048264349,1.18311234229271
02945-A,0.892887974374635,1.43599185767062
02947-A,0.842560295330926,1.22993439539804
02948-A,0.770027559312363,1.02039545851651
02954-A,0.795256115487856,1.08557155962632
02959-A,0.674201306496614,0.81840590627748
02960-A,0.840249826039574,1.22202271709837
02971-A,0.768543306995767,1.01675935577861
02975-A,0.828278852139918,1.18262917874687
02976-A,0.752670209042641,0.979086552816408
02981-A,0.684376609490397,0.837300554498704
02982-A,0.694751112902344,0.857081852937413
02987-A,0.768279511264727,1.0161152349597
02988-A,0.821220913291811,1.16055574773189
03004-A,0.809679185872304,1.12609685975599
03013-A,0.773230049870223,1.02831099068015
03026-A,0.801916793396533,1.10395954236253
03031-A,0.756546371347281,0.988089191785376
03035-A,0.744949819816606,0.961510383419626
03040-A,0.742290876700977,0.955562301119828
03043-A,0.754199496501391,0.982623829477542
03046-A,0.812630357298285,1.13472547035751
03051-A,0.620538402460575,0.725880160374148
03057-A,0.849081480616305,1.25285210668423
03061-A,0.706517039044796,0.880195085085747
03069-A,0.746314885486816,0.964584637809285
03074-A,0.677692660267839,0.824834575172446
