VA_scenes,VA_faces,VC_scenes,VC_faces,VE_scenes,VE_faces,SA_scenes,SA_faces,SC_scenes,SC_faces,SE_scenes,SE_faces,sample,facet
0.321,0.11,0,0,0.685,0.265,0.319,0.293,0,0,0.681,0.707,Sutherland et al. 2020,e-b
0.11,0.315,0,0,0.265,0.687,0.293,0.314,0,0,0.707,0.686,Sutherland et al. 2020,e-b
