rowname,FA_A,SC_A,FA_B,SC_B
FA_A,1,0.36425656861845473,0.30365017316349247,0.10194894802983367
SC_A,0.36425656861845473,1,0.05104993669597512,0.28791790501742
FA_B,0.30365017316349247,0.05104993669597513,1,0.3385624790018695
SC_B,0.10194894802983366,0.28791790501742,0.3385624790018695,1
