rowname,SC_1,FA_TOT_1,AO_1,SC_2,FA_TOT_2,AO_2
SC_1,1,0.29555136330134285,0.11303307586013889,0.3693905703592664,0.21579028788074978,0.045317334831126814
FA_TOT_1,0.29555136330134285,1,0.06629055976959898,0.17752782276197307,0.33115261134486107,0.0988524765190449
AO_1,0.11303307586013889,0.06629055976959898,1,0.07995031969682757,4.667196690326106e-13,0.2799509391273473
SC_2,0.3693905703592664,0.1775278227619731,0.07995031969682757,1,0.2879094467144358,0.1450979571476459
FA_TOT_2,0.21579028788074978,0.33115261134486107,4.667196690326106e-13,0.28790944671443586,1,0.10125983319058417
AO_2,0.04531733483112682,0.09885247651904491,0.2799509391273473,0.1450979571476459,0.10125983319058417,1
