contrast,dif_emmean_z,dif_emmean_r,lower.CL_z,upper.CL_z,lower.CL_r,upper.CL_r,df,t.ratio,p.value,effect.size,e.s_lower.CL,e.s_upper.CL
DZ - MZ,-0.066,-0.066,-0.092,-0.04,-0.091,-0.04,4242,-6.1,3.472242842775742e-9,-0.294,-0.388,-0.199
UR - DZ,-0.084,-0.084,-0.109,-0.059,-0.109,-0.059,4242,-8.144,1.49703640816279e-15,-0.376,-0.467,-0.285
UR - MZ,-0.15,-0.149,-0.168,-0.132,-0.167,-0.131,4242,-19.893,8.731820429184085e-84,-0.67,-0.737,-0.602
