FamId,Age,Sex,Zygosity,AO_1,AO_2,FA_TOT_1,FA_TOT_2,SC_1,SC_2
427,30,2,1,0.5086879821437167,1.419281924736933,0.6886922496371404,0.9571430023543084,-0.7903401997857666,0.6065041227778762
428,27,2,1,-0.7796151476165577,-0.884683679454237,-1.0523182138720413,-1.3534183824602193,-0.09830114866461812,-0.6864461265861517
429,56,2,1,-0.03532238584412648,-2.3118072423271694,NA,-1.7637513860547813,-1.543719256368711,-1.411386636336366
43,35,2,3,0.37937500859446255,2.8076255221763753,0.9808415610549004,0.7232739469614006,-0.7282389972831775,0.4921618319040042
430,42,2,3,-0.24528584435580267,-0.12854303120282604,0.10709132459664554,-1.3548769638495624,-0.11784828342938887,-0.6471787635587689
431,63,1,1,0.1326280161070579,-0.2993203925589555,0.6078506805421077,1.3043715524569264,-0.7749615050018577,0.31310670415297875
432,27,2,1,-0.3243181763199493,-0.3243181763199493,-0.31952021321165824,NA,-0.01007940197638863,-0.2600410175930403
433,33,2,1,0.7229572308966058,NA,-0.6212038143555719,-0.7264074877177069,-0.012016806103080691,0.8260897874351052
434,26,2,1,-0.5436154892313496,-0.18171276845712162,0.4121657885831596,-0.044926033610936465,0.480364313646005,-1.166441624534289
435,63,1,1,-0.21760042335187219,0.5879249874036662,0.0020226304911981586,0.9597388293740732,-0.26033464932051603,0.8865480576264748
436,63,1,3,0.7747134884484278,-0.8947087396391364,0.6477555221622285,1.2463281464640246,0.01903421519221302,-1.6424753474361193
437,27,2,3,2.1739780251537497,-1.0948207431295944,1.01185041175052,0.010601658372969548,1.2985431738990245,-1.362812851195916
438,60,2,3,1.0753524921074273,0.6317298021261164,-0.15222658716406845,1.15012233480166,0.6262243510404893,0.6997424732806808
439,51,2,1,0.9345388424065586,0.8644931545147722,-0.2456719730689241,0.7229273644376174,0.8643884483991418,-0.47364137637234754
44,56,2,3,1.2254999962080206,0.9920143699020672,0.06461590272161799,1.2254840225796524,-0.8379452828628705,1.5293382532713022
440,31,2,1,0.6229167632174372,0.2610140424432103,-0.518224138724566,-0.8592291489328627,0.2483930271878275,0.07194953381136722
441,57,1,3,NA,1.3851860280041415,-0.828140185226469,0.44518703374280894,1.197261575161972,1.1825579507139339
442,25,2,1,0.14768114045046812,-0.28426726821554543,-0.09682601272028955,-0.6736323597747484,0.08859056238609861,-0.9406631489765855
443,49,1,1,1.066744126494552,NA,0.697486369786367,0.9405431323816428,0.23920798339239122,-0.8488602257624459
444,56,2,1,-0.1754137616276985,-0.43224795056424664,-0.41424219671981827,-1.1216462072583075,1.8381143666801072,-0.014542313772723272
445,25,2,1,0.13600685913517072,-0.03910736059429454,1.074925245761409,0.26231756186078714,0.17681230907432807,0.13270143573021334
446,34,2,1,-0.6454477150724758,-0.003362242731104153,-1.2912186972829351,0.38478465076209684,0.42386781850094113,-0.517164146173513
447,31,2,1,-0.5678599309429234,0.06255126008315016,0.06583763407900929,0.5156740305239954,-0.5897135663503584,-0.8543788064150483
448,25,2,1,-0.36598723742262873,-0.027433079278997137,0.15348617562409897,-0.3108610723191134,-1.2641428868334288,3.688156978678311e-4
449,25,2,1,0.381166766756421,-0.5994728637285828,0.6649936909365444,0.5670454433235211,0.6914391647556707,0.8531790336840918
45,37,2,1,0.05914134892291563,0.8996896036243471,0.35547123148777715,0.76177507343809,-0.7092799660613573,-0.7239835905093961
450,25,2,3,0.7664180501612442,-0.5877985824132848,1.5029953649590615,0.5380237403270717,0.17681230907432807,0.4855884224831331
