Domain,Component,Value,CI_low,CI_high,Repeatable,Error,mBi
FA_TOT,Obj,0.3896572073421425,0.331872106611351,0.4354262991388992,0.8468039027367901,0.15319609726320993,0.524708752757211
FA_TOT,Sub,0.21332109384344253,0.18959958015918693,0.24059199119467406,0.8468039027367901,0.15319609726320993,0.524708752757211
FA_TOT,Block,5.7971628225145554e-5,0,0.0015065103103912747,0.8468039027367901,0.15319609726320993,0.524708752757211
FA_TOT,SubXObj,0.22615553209482242,0.2076904622041015,0.24540158471937162,0.8468039027367901,0.15319609726320993,0.524708752757211
FA_TOT,SubXBlock,0.004848793696694727,0.004167412801384993,0.005645143833406202,0.8468039027367901,0.15319609726320993,0.524708752757211
FA_TOT,ObjxBlock,0.012821275759687788,0.008683615034150497,0.016982123924757085,0.8468039027367901,0.15319609726320993,0.524708752757211
FA_TOT,Residual,0.15313812563498475,0.1415490305878861,0.16606817339920424,0.8468039027367901,0.15319609726320993,0.524708752757211
SC,Obj,0.5738055904804332,0.47562880814274067,0.6623120657930168,0.9286933273240335,0.07130667267596646,0.37853821005862515
SC,Sub,0.1025245961334595,0.07874745547448023,0.13027918060760918,0.9286933273240335,0.07130667267596646,0.37853821005862515
SC,Block,5.28284224634357e-4,0,0.002716196263033739,0.9286933273240335,0.07130667267596646,0.37853821005862515
SC,SubXObj,0.2449992115008239,0.19606379602428609,0.3023366461465643,0.9286933273240335,0.07130667267596646,0.37853821005862515
SC,SubXBlock,0.0040221021843451134,0.002929273943632976,0.005402841581627009,0.9286933273240335,0.07130667267596646,0.37853821005862515
SC,ObjxBlock,0.003341827024971784,0.0010715478610131036,0.006644849745022732,0.9286933273240335,0.07130667267596646,0.37853821005862515
SC,Residual,0.07077838845133207,0.05624302213246136,0.08811448993939361,0.9286933273240335,0.07130667267596646,0.37853821005862515
AO,Obj,0.16103522146139457,0.11839174875998192,0.20309570863422244,0.8570873539424095,0.14291264605759046,0.8055707757680869
AO,Sub,0.24466341123591412,0.2221642830187945,0.26817037191969906,0.8570873539424095,0.14291264605759046,0.8055707757680869
AO,Block,0.006630455603964213,0,0.02828481072298926,0.8570873539424095,0.14291264605759046,0.8055707757680869
AO,SubXObj,0.43245843970916625,0.40899664903375466,0.46208074417808026,0.8570873539424095,0.14291264605759046,0.8055707757680869
AO,SubXBlock,0.013322673671323376,0.011283339570277547,0.015510972379385618,0.8570873539424095,0.14291264605759046,0.8055707757680869
AO,ObjxBlock,0.005607607864611287,0.002382470130861874,0.010889172091104418,0.8570873539424095,0.14291264605759046,0.8055707757680869
AO,Residual,0.13628219045362608,0.1292983126677505,0.14727422527186265,0.8570873539424095,0.14291264605759046,0.8055707757680869
