parameter,lbound,estimate,ubound,expected_full,expected_reduced
vZ,0.4413,0.4755,0.5136,ACE,AE
cMZ21,0.1519,0.1917,0.2338,ACE,AE
cDZ21,0.0431,0.1041,0.163,ACE,AE
"MZ.corMZ[2,1]",0.3286,0.4031,0.471,ACE,AE
"DZ.corDZ[2,1]",0.0916,0.2189,0.3356,ACE,AE
mZ,2.6353,2.8695,3.1038,ACE,AE
