Item_2,Value,FamId,is_repeated
OBJECTS13,NA,10,2
OBJECTS6,2,10,2
OBJECTS12,2,10,2
OBJECTS50,NA,10,2
OBJECTS24,5,10,1
OBJECTS38,NA,10,2
OBJECTS7,NA,10,2
OBJECTS12,6,101,2
OBJECTS31,4,101,1
OBJECTS24,6,101,1
OBJECTS24,6,101,2
OBJECTS8,NA,101,2
OBJECTS4,6,101,1
OBJECTS4,NA,101,2
OBJECTS5,5,101,1
OBJECTS5,NA,101,2
OBJECTS23,4,101,1
OBJECTS13,6,101,1
OBJECTS34,6,101,1
OBJECTS17,NA,101,2
OBJECTS20,NA,101,2
OBJECTS17,6,101,1
OBJECTS30,4,101,1
OBJECTS21,4,101,2
OBJECTS49,NA,101,2
OBJECTS2,6,101,1
OBJECTS1,3,101,1
OBJECTS3,6,101,2
OBJECTS45,6,101,1
OBJECTS49,4,101,1
OBJECTS42,4,101,1
OBJECTS48,4,101,1
OBJECTS8,4,101,1
OBJECTS18,6,101,1
OBJECTS9,4,101,2
OBJECTS45,NA,101,2
OBJECTS37,6,101,1
OBJECTS11,5,101,1
OBJECTS15,4,101,2
OBJECTS42,NA,101,2
OBJECTS18,6,101,2
OBJECTS44,5,101,1
OBJECTS22,4,101,1
OBJECTS9,4,101,1
OBJECTS11,NA,101,2
OBJECTS1,NA,101,2
OBJECTS48,NA,101,2
OBJECTS23,NA,101,2
OBJECTS14,NA,101,2
OBJECTS39,6,101,1
OBJECTS25,6,101,1
OBJECTS31,NA,101,2
OBJECTS44,NA,101,2
OBJECTS47,5,101,1
OBJECTS50,4,101,1
OBJECTS16,4,101,1
OBJECTS50,NA,101,2
OBJECTS27,4,101,1
OBJECTS41,NA,101,2
OBJECTS10,NA,101,2
OBJECTS37,NA,101,2
OBJECTS33,6,101,2
OBJECTS43,4,101,1
OBJECTS20,6,101,1
OBJECTS33,6,101,1
OBJECTS43,4,101,2
OBJECTS29,4,101,1
OBJECTS38,4,101,1
OBJECTS21,4,101,1
OBJECTS40,NA,101,2
OBJECTS47,6,101,2
OBJECTS16,NA,101,2
OBJECTS39,6,101,2
OBJECTS15,4,101,1
OBJECTS46,4,101,1
OBJECTS46,NA,101,2
OBJECTS3,6,101,1
OBJECTS6,4,101,1
OBJECTS28,4,101,1
OBJECTS28,NA,101,2
OBJECTS32,6,101,1
OBJECTS26,4,101,1
OBJECTS22,NA,101,2
OBJECTS35,5,101,1
OBJECTS35,NA,101,2
OBJECTS10,4,101,1
OBJECTS12,6,101,1
OBJECTS41,6,101,1
OBJECTS6,4,101,2
OBJECTS32,NA,101,2
OBJECTS40,6,101,1
OBJECTS19,6,101,1
OBJECTS7,4,101,1
OBJECTS38,NA,101,2
OBJECTS25,NA,101,2
OBJECTS2,NA,101,2
OBJECTS13,NA,101,2
OBJECTS34,NA,101,2
OBJECTS27,6,101,2
OBJECTS36,4,101,1
OBJECTS14,6,101,1
OBJECTS7,NA,101,2
OBJECTS30,4,101,2
OBJECTS36,4,101,2
OBJECTS19,NA,101,2
OBJECTS26,NA,101,2
OBJECTS29,NA,101,2
OBJECTS41,5,102,1
OBJECTS26,NA,102,2
OBJECTS24,4,102,1
OBJECTS1,1,102,1
OBJECTS40,NA,102,2
OBJECTS50,1,102,1
OBJECTS24,5,102,2
OBJECTS49,1,102,1
OBJECTS12,2,102,2
OBJECTS8,NA,102,2
OBJECTS5,NA,102,2
OBJECTS13,2,102,1
OBJECTS15,1,102,2
OBJECTS1,NA,102,2
OBJECTS19,NA,102,2
OBJECTS21,1,102,2
OBJECTS5,4,102,1
OBJECTS50,NA,102,2
OBJECTS14,NA,102,2
OBJECTS34,4,102,1
OBJECTS12,2,102,1
OBJECTS39,3,102,1
