rowname,SC_1,FA_TOT_1,AO_1,SC_2,FA_TOT_2,AO_2
SC_1,1,0.4581761564705838,0.5291441003936118,0.25798616099691934,0.19577137783600426,0.19130631949404625
FA_TOT_1,0.4581761564705838,1,0.436462161088397,0.14733659401824503,0.40020385088840593,0.1295835205916492
AO_1,0.5291441003936119,0.436462161088397,1,0.16530585364869926,0.2543358653063699,0.33085651166201
SC_2,0.25798616099691934,0.14733659401824503,0.16530585364869926,1,0.40903456464057325,0.5757673382815631
FA_TOT_2,0.19577137783600423,0.4002038508884059,0.2543358653063699,0.40903456464057325,1,0.45434878519914684
AO_2,0.19130631949404622,0.12958352059164918,0.3308565116620101,0.575767338281563,0.45434878519914684,1
