Pairs,Domain,emmean_z,lower.CL_z,upper.CL_z,emmean_r,lower.CL_r,upper.CL_r
UR,abstract,0.292,0.266,0.319,0.284,0.26,0.308
DZ,abstract,0.408,0.359,0.458,0.387,0.345,0.428
MZ,abstract,0.486,0.455,0.517,0.451,0.426,0.476
UR,scenes,0.875,0.85,0.9,0.704,0.691,0.716
DZ,scenes,0.952,0.906,0.998,0.741,0.719,0.761
MZ,scenes,1.025,0.996,1.054,0.772,0.76,0.783
UR,faces,0.647,0.622,0.671,0.569,0.552,0.586
DZ,faces,0.706,0.66,0.753,0.608,0.578,0.637
MZ,faces,0.754,0.724,0.783,0.637,0.62,0.654
