parameter,lbound,estimate,ubound,expected_full,expected_reduced
vZ,0.0734,0.079,0.0852,ACE,AE
cMZ21,0.0219,0.0284,0.0352,ACE,AE
cDZ21,0.0037,0.0151,0.0261,ACE,AE
"MZ.corMZ[2,1]",0.2847,0.3591,0.4281,ACE,AE
"DZ.corDZ[2,1]",0.0462,0.1915,0.3227,ACE,AE
mZ,0.884,0.9781,1.072,ACE,AE
