rowname,SC_1,FA_TOT_1,AO_1,SC_2,FA_TOT_2,AO_2
SC_1,1,0.307801462792563,0.44083040369229504,0.13967349359307962,0.045752441353014074,0.08253033970504378
FA_TOT_1,0.307801462792563,1,0.39838540831257596,0.0935611402054796,0.2229661251455756,0.17681851005652452
AO_1,0.44083040369229504,0.398385408312576,1,0.04058337062819373,0.05645959914503589,0.1254896715492581
SC_2,0.13967349359307965,0.09356114020547962,0.040583370628193734,1,0.44228315927910666,0.6149696900515118
FA_TOT_2,0.045752441353014074,0.2229661251455756,0.05645959914503589,0.44228315927910666,1,0.4681901604541518
AO_2,0.08253033970504378,0.1768185100565245,0.1254896715492581,0.6149696900515118,0.4681901604541518,1
