Item_2,Value,FamId,is_repeated
OBJECTS3,3,1,1
OBJECTS48,NA,1,2
OBJECTS39,3,1,2
OBJECTS44,NA,1,2
OBJECTS31,NA,1,2
OBJECTS29,NA,1,2
OBJECTS46,NA,1,2
OBJECTS15,1,1,2
OBJECTS43,1,1,2
OBJECTS29,3,1,1
OBJECTS46,1,1,1
OBJECTS9,1,1,1
OBJECTS14,NA,1,2
OBJECTS41,NA,1,2
OBJECTS13,NA,1,2
OBJECTS37,NA,1,2
OBJECTS5,NA,1,2
OBJECTS1,NA,1,2
OBJECTS45,NA,1,2
OBJECTS23,NA,1,2
OBJECTS40,NA,1,2
OBJECTS38,NA,1,2
OBJECTS20,NA,1,2
OBJECTS26,NA,1,2
OBJECTS22,NA,1,2
OBJECTS7,NA,1,2
OBJECTS4,NA,1,2
OBJECTS2,NA,1,2
OBJECTS8,NA,1,2
OBJECTS10,NA,1,2
OBJECTS16,NA,1,2
OBJECTS32,NA,1,2
OBJECTS50,NA,1,2
OBJECTS25,NA,1,2
OBJECTS11,NA,1,2
OBJECTS49,NA,1,2
OBJECTS28,NA,1,2
OBJECTS9,1,1,2
OBJECTS17,NA,1,2
OBJECTS42,NA,1,2
OBJECTS19,NA,1,2
OBJECTS28,4,1,1
OBJECTS34,NA,1,2
OBJECTS12,1,1,2
OBJECTS42,1,1,1
OBJECTS19,2,1,1
OBJECTS48,1,1,1
OBJECTS44,3,1,1
OBJECTS6,2,1,1
OBJECTS31,3,1,1
OBJECTS45,4,1,1
OBJECTS23,3,1,1
OBJECTS18,1,1,2
OBJECTS47,1,1,2
OBJECTS20,4,1,1
OBJECTS26,2,1,1
OBJECTS12,1,1,1
OBJECTS39,2,1,1
OBJECTS21,1,1,2
OBJECTS13,3,1,1
OBJECTS43,1,1,1
OBJECTS15,1,1,1
OBJECTS1,1,1,1
OBJECTS32,4,1,1
OBJECTS50,4,1,1
OBJECTS18,1,1,1
OBJECTS27,4,1,2
OBJECTS27,4,1,1
OBJECTS35,NA,1,2
OBJECTS22,1,1,1
OBJECTS3,3,1,2
OBJECTS4,3,1,1
OBJECTS30,1,1,2
OBJECTS8,1,1,1
OBJECTS10,1,1,1
OBJECTS24,6,1,1
OBJECTS6,3,1,2
OBJECTS16,1,1,1
OBJECTS36,2,1,2
OBJECTS11,1,1,1
OBJECTS36,2,1,1
OBJECTS49,1,1,1
OBJECTS35,6,1,1
OBJECTS17,3,1,1
OBJECTS14,4,1,1
OBJECTS30,1,1,1
OBJECTS2,6,1,1
OBJECTS33,6,1,1
OBJECTS5,1,1,1
OBJECTS38,1,1,1
OBJECTS41,6,1,1
OBJECTS24,6,1,2
OBJECTS40,2,1,1
OBJECTS7,1,1,1
OBJECTS33,6,1,2
OBJECTS47,1,1,1
OBJECTS37,5,1,1
OBJECTS34,6,1,1
OBJECTS25,6,1,1
OBJECTS21,1,1,1
OBJECTS25,NA,10,2
OBJECTS28,NA,10,2
OBJECTS37,NA,10,2
OBJECTS7,NA,10,2
OBJECTS22,NA,10,2
OBJECTS45,NA,10,2
OBJECTS16,2,10,1
OBJECTS31,3,10,1
OBJECTS37,6,10,1
OBJECTS48,NA,10,2
OBJECTS8,NA,10,2
OBJECTS9,2,10,2
OBJECTS5,5,10,1
OBJECTS8,4,10,1
OBJECTS35,3,10,1
OBJECTS11,NA,10,2
OBJECTS32,NA,10,2
OBJECTS2,NA,10,2
OBJECTS2,4,10,1
OBJECTS16,NA,10,2
OBJECTS19,NA,10,2
OBJECTS35,NA,10,2
OBJECTS50,NA,10,2
OBJECTS12,5,10,2
OBJECTS22,3,10,1
OBJECTS6,5,10,1
OBJECTS4,NA,10,2
OBJECTS29,NA,10,2
OBJECTS40,NA,10,2
OBJECTS25,6,10,1
OBJECTS20,6,10,1
OBJECTS31,NA,10,2
OBJECTS33,7,10,2
OBJECTS29,4,10,1
OBJECTS30,2,10,2
OBJECTS3,5,10,1
OBJECTS17,NA,10,2
OBJECTS5,NA,10,2
OBJECTS44,NA,10,2
OBJECTS13,5,10,1
OBJECTS6,5,10,2
OBJECTS28,5,10,1
OBJECTS43,2,10,2
OBJECTS45,6,10,1
OBJECTS20,NA,10,2
OBJECTS26,NA,10,2
OBJECTS24,4,10,2
OBJECTS49,NA,10,2
OBJECTS21,3,10,1
OBJECTS39,5,10,1
OBJECTS30,3,10,1
OBJECTS15,4,10,1
OBJECTS32,6,10,1
OBJECTS43,2,10,1
OBJECTS14,NA,10,2
OBJECTS10,NA,10,2
OBJECTS49,1,10,1
OBJECTS13,NA,10,2
OBJECTS11,2,10,1
OBJECTS7,3,10,1
OBJECTS47,6,10,2
OBJECTS36,2,10,2
OBJECTS47,6,10,1
OBJECTS40,7,10,1
OBJECTS39,6,10,2
OBJECTS34,NA,10,2
OBJECTS1,NA,10,2
OBJECTS21,3,10,2
OBJECTS26,3,10,1
OBJECTS23,4,10,1
OBJECTS9,3,10,1
OBJECTS42,NA,10,2
OBJECTS33,6,10,1
OBJECTS18,4,10,2
OBJECTS36,2,10,1
OBJECTS38,NA,10,2
OBJECTS27,5,10,1
OBJECTS4,5,10,1
OBJECTS17,7,10,1
OBJECTS46,NA,10,2
OBJECTS23,NA,10,2
OBJECTS1,3,10,1
OBJECTS38,2,10,1
OBJECTS41,7,10,1
OBJECTS19,4,10,1
OBJECTS41,NA,10,2
OBJECTS50,4,10,1
OBJECTS18,6,10,1
OBJECTS34,7,10,1
OBJECTS44,4,10,1
OBJECTS48,1,10,1
OBJECTS42,1,10,1
OBJECTS10,2,10,1
OBJECTS46,1,10,1
OBJECTS12,5,10,1
OBJECTS15,2,10,2
OBJECTS14,3,10,1
OBJECTS24,4,10,1
OBJECTS27,5,10,2
OBJECTS3,6,10,2
OBJECTS9,7,100,1
OBJECTS46,7,100,1
OBJECTS41,2,100,1
OBJECTS33,1,100,1
OBJECTS12,2,100,2
OBJECTS14,5,100,1
OBJECTS15,5,100,1
OBJECTS7,NA,100,2
OBJECTS19,3,100,1
OBJECTS3,1,100,2
OBJECTS11,NA,100,2
OBJECTS13,NA,100,2
OBJECTS10,NA,100,2
OBJECTS41,NA,100,2
OBJECTS14,NA,100,2
OBJECTS46,NA,100,2
OBJECTS39,2,100,1
OBJECTS1,NA,100,2
OBJECTS12,2,100,1
OBJECTS8,NA,100,2
OBJECTS23,NA,100,2
OBJECTS25,NA,100,2
OBJECTS27,4,100,1
OBJECTS15,3,100,2
OBJECTS43,6,100,1
OBJECTS44,NA,100,2
OBJECTS27,6,100,2
OBJECTS21,2,100,1
OBJECTS20,2,100,1
OBJECTS10,5,100,1
OBJECTS39,6,100,2
OBJECTS40,NA,100,2
OBJECTS32,NA,100,2
OBJECTS20,NA,100,2
OBJECTS1,6,100,1
OBJECTS45,NA,100,2
OBJECTS48,NA,100,2
OBJECTS35,6,100,1
OBJECTS47,5,100,2
OBJECTS4,NA,100,2
OBJECTS13,2,100,1
OBJECTS38,1,100,1
OBJECTS3,2,100,1
OBJECTS38,NA,100,2
OBJECTS25,2,100,1
OBJECTS36,6,100,1
OBJECTS6,7,100,2
OBJECTS17,NA,100,2
OBJECTS29,5,100,1
OBJECTS5,NA,100,2
OBJECTS23,4,100,1
OBJECTS2,3,100,1
OBJECTS19,NA,100,2
OBJECTS49,2,100,1
OBJECTS34,1,100,1
OBJECTS24,6,100,2
OBJECTS24,5,100,1
OBJECTS31,2,100,1
OBJECTS16,NA,100,2
OBJECTS22,NA,100,2
OBJECTS42,NA,100,2
OBJECTS28,NA,100,2
OBJECTS11,7,100,1
OBJECTS8,7,100,1
OBJECTS17,7,100,1
OBJECTS50,NA,100,2
OBJECTS50,1,100,1
OBJECTS5,6,100,1
OBJECTS34,NA,100,2
OBJECTS37,NA,100,2
OBJECTS47,5,100,1
OBJECTS36,6,100,2
OBJECTS2,NA,100,2
OBJECTS48,3,100,1
OBJECTS31,NA,100,2
OBJECTS18,7,100,1
OBJECTS44,7,100,1
OBJECTS45,7,100,1
OBJECTS18,7,100,2
OBJECTS40,4,100,1
OBJECTS42,2,100,1
OBJECTS26,NA,100,2
OBJECTS49,NA,100,2
OBJECTS21,3,100,2
OBJECTS32,1,100,1
OBJECTS33,2,100,2
OBJECTS30,7,100,2
OBJECTS29,NA,100,2
OBJECTS4,7,100,1
OBJECTS16,5,100,1
OBJECTS35,NA,100,2
OBJECTS22,3,100,1
OBJECTS28,2,100,1
OBJECTS30,3,100,1
OBJECTS6,7,100,1
OBJECTS43,6,100,2
OBJECTS26,6,100,1
OBJECTS7,7,100,1
OBJECTS9,7,100,2
OBJECTS37,1,100,1
OBJECTS42,NA,101,2
OBJECTS13,NA,101,2
OBJECTS34,4,101,1
OBJECTS15,3,101,1
OBJECTS5,NA,101,2
OBJECTS9,3,101,1
OBJECTS47,4,101,2
OBJECTS27,3,101,2
OBJECTS33,4,101,1
OBJECTS24,4,101,2
OBJECTS39,4,101,1
OBJECTS43,3,101,1
OBJECTS3,3,101,2
OBJECTS4,3,101,1
OBJECTS15,3,101,2
OBJECTS1,2,101,1
OBJECTS12,3,101,2
OBJECTS11,4,101,1
OBJECTS2,NA,101,2
OBJECTS42,3,101,1
OBJECTS20,4,101,1
OBJECTS18,3,101,1
OBJECTS3,3,101,1
OBJECTS2,3,101,1
OBJECTS35,4,101,1
OBJECTS36,3,101,1
OBJECTS8,NA,101,2
OBJECTS40,4,101,1
OBJECTS16,NA,101,2
OBJECTS23,NA,101,2
OBJECTS29,NA,101,2
OBJECTS21,3,101,1
OBJECTS35,NA,101,2
OBJECTS5,3,101,1
OBJECTS46,NA,101,2
OBJECTS27,3,101,1
