category,FamId,Sex,Age,Zygosity,avgP_1,avgP_2,varP_1,varP_2,mm2_r_1,mm2_r_2,mm2_z_1,mm2_z_2
AO,1,2,37,1,4,2.66,1.2653061224489797,3.198367346938772,0.681765401958218,0.582075958074577,0.832405257336818,0.665596731499129
FA_TOT,1,2,37,1,3.4124999999999996,2.385000000000001,1.295069095477387,1.7857035175879414,0.777569781949734,0.688094056992915,1.03919449685645,0.844326858465968
SC,1,2,37,1,3.84,2.83,1.7391836734693875,2.057244897959183,0.667401332030513,0.663293841150021,0.806042521497259,0.798672269598773
AO,10,2,40,1,3.79,4.03,1.5621428571428568,3.106224489795919,0.428882045913077,0.737130359470617,0.458525934259805,0.944165783072796
FA_TOT,10,2,40,1,4.7675,4.4425,1.348938442211055,2.219038944723617,0.840581729963586,0.858901724905672,1.22315279044663,1.2891422438748
SC,10,2,40,1,4.75,4.37,3.5433673469387754,4.518469387755102,0.906070895762772,0.912055900513015,1.50512949607613,1.53961647516211
FA_TOT,100,2,48,1,5.357499999999999,4.5775,1.2798429648241185,2.7138128140703532,0.749681090890584,0.72124696091024,0.972226537583571,0.910239029566379
SC,100,2,48,1,4.59,4.02,4.976428571428572,6.071020408163267,0.817348205515888,0.926860829728821,1.14877605486332,1.63564168816576
AO,100,2,48,1,NA,4.2,NA,4.693877551020409,NA,0.11024224432658,NA,0.110692133793669
AO,101,2,36,1,4.91,3.34,0.9560204081632647,0.25959183673469405,0.676946351663615,0.56969972506624,0.823455683650236,0.647078171675607
FA_TOT,101,2,36,1,4.772499999999999,3.8575,0.7205967336683423,0.6290891959798994,0.789503721232718,0.60462325287489,1.07011281739236,0.700402587038103
SC,101,2,36,1,4.16,4.14,5.67795918367347,1.3065306122448972,0.905481885699626,0.716165808681119,1.50184935604808,0.89972883310282
AO,102,2,50,3,2.89,5.1,3.064183673469389,2.6734693877551026,0.80253141166976,0.675752648737946,1.10568388523417,0.821255515757996
FA_TOT,102,2,50,3,3.1600000000000015,4.58,1.5320603015075354,0.5237185929648239,0.762183717382327,0.534854766501027,1.00140530682029,0.596920676979978
SC,102,2,50,3,2.7800000000000002,NA,3.3077551020408165,NA,0.895259013964478,NA,1.44781014403722,NA
AO,103,1,64,3,4.21,4.13,1.5315306122448977,0.498061224489796,0.657435397182755,0.37216057527924,0.788283241981017,0.39092869907985
FA_TOT,103,1,64,3,4.322500000000001,3.8899999999999997,1.2057726130653257,0.9702512562814094,0.736681701663715,0.417077998952237,0.943183971596141,0.444149447424153
SC,103,1,64,3,4.01,3.73,3.209081632653062,1.4919387755102045,0.890030108773161,0.880464350773949,1.42207071314447,1.37782968682597
FA_TOT,104,2,53,1,4.494999999999999,4.43,1.7612814070351757,1.5101507537688463,0.775721416119207,0.718888262951354,1.03453654689382,0.905340385520142
SC,104,2,53,1,3.69,3.92,3.0090816326530616,3.5240816326530613,0.899975891647218,0.920590863363848,1.47209261800368,1.59288736319865
AO,105,2,40,3,4.9399999999999995,4.07,3.0677551020408167,2.4184693877551044,0.6760016224013,0.887979409756906,0.821713870346528,1.41228987247118
FA_TOT,105,2,40,3,4.154999999999999,4.1325,3.0286180904522575,1.619290201005028,0.827584973828749,0.796228998135038,1.18042308732632,1.08822396090844
SC,105,2,40,3,4.41,3.99,4.690714285714285,4.331530612244899,0.857445095485011,0.909019542527499,1.283614998763,1.52185016515909
AO,106,2,48,1,4.33,3.56,1.5980612244897958,1.853469387755101,0.6081364692382,0.514482798924419,0.705958835850795,0.568807278047765
FA_TOT,106,2,48,1,3.945,4.13,1.7105276381909553,2.294572864321611,0.802923430590273,0.769945661625791,1.10678621204545,1.02019429531481
SC,106,2,48,1,4.18,3.65,3.2322448979591836,3.3392857142857144,0.854875961166253,0.941789417315677,1.27399214426858,1.7536490178571
AO,107,2,44,3,3.0300000000000002,4.56,0.7286734693877555,2.04734693877551,0.750893416146478,0.504787438227811,0.975000303837033,0.555709921016635
FA_TOT,107,2,44,3,3.705000000000001,3.877500000000001,0.5004773869346743,2.292707286432158,0.80993741216399,0.851424040228372,1.12684705858342,1.26130701618126
SC,107,2,44,3,3.9799999999999995,4.73,1.6730612244897958,2.685816326530612,0.825983826331366,0.87613753168024,1.17536297833578,1.35889930719684
AO,108,2,67,1,4.62,5.22,0.5873469387755099,0.899591836734694,0.455487095006083,0.64335923576387,0.491602127028913,0.763884363929461
FA_TOT,108,2,67,1,3.7375000000000003,4.4975000000000005,1.5651695979899487,0.9710992462311545,0.881405562690444,0.750509091350668,1.38203241685039,0.974119728853214
SC,108,2,67,1,3.91,4.05,2.313163265306124,4.747448979591837,0.961833780119479,0.90895367273154,1.96984204442652,1.52147104388749
AO,109,2,43,1,3.7,2.48,4.408163265306122,2.6730612244897958,0.734344552487004,0.564937372745277,0.938092341208493,0.640055546665984
FA_TOT,109,2,43,1,2.79,2.1025000000000005,2.0235175879396956,1.9957223618090398,0.71545688527513,0.641464261245892,0.898274970919139,0.760657809966577
SC,109,2,43,1,4.26,3.5100000000000002,5.0738775510204075,5.239693877551024,0.915966801826506,0.865422660065479,1.56338284722539,1.31455194094995
AO,11,2,40,1,4.2,NA,0.1530612244897959,NA,0.101052132891199,NA,0.101398221585472,NA
SC,11,2,40,1,5.06,3.18,0.8228571428571428,2.5179591836734674,0.830568881805439,0.538890070759361,1.18996780000493,0.602590114744397
FA_TOT,11,2,40,1,NA,3.8250000000000006,NA,1.4114321608040181,NA,0.796845127154232,NA,1.0899095451855
AO,110,1,42,1,4.72,4.18,2.154693877551021,2.201632653061224,0.0105218517971433,0.578298850362087,0.0105222401121155,0.659902991027319
FA_TOT,110,1,42,1,4.267500000000001,3.772499999999999,2.2032097989949744,2.406526381909549,0.826689281027733,0.755932364007762,1.17758721219697,0.9866549364013
SC,110,1,42,1,3.91,4.37,5.547857142857144,5.630714285714284,0.847151555426346,0.928442341501697,1.24597657981193,1.64698217090357
AO,111,2,42,1,3.67,5.11,1.8531632653061223,1.1049999999999995,0.269508646617063,0.243224747677204,0.276333908807953,0.248198784532075
FA_TOT,111,2,42,1,3.565,4.177499999999999,1.5962562814070367,1.1203454773869337,0.78417451526289506,0.76563581665235,1.05612049536022,1.00969494797598
SC,111,2,42,1,3.35,3.6,2.859693877551022,2.6428571428571423,0.877444559477676,0.88098386079883,1.36455167549994,1.38014557084595
AO,112,2,35,1,4.18,5.14,1.0995918367346953,1.9697959183673464,0.591656040843937,0.794590101601902,0.680210215959858,1.08376221601027
FA_TOT,112,2,35,1,4.220000000000001,4.3950000000000005,0.9714572864321595,1.0793718592964818,0.781920749757616,0.756222311321058,1.05029430222708,0.98733183457754
SC,112,2,35,1,3.8,4.12,3.3163265306122454,5.168979591836735,0.850850490592413,0.96365586591861,1.25922565768788,1.99476521743084
AO,113,1,36,1,3.35,4.58,1.6454081632653064,2.0342857142857143,0.508006645522042,0.631196441215689,0.560039373080292,0.743402448146402
FA_TOT,113,1,36,1,3.817500000000001,4.104999999999999,0.683863065326633,0.7552512562814067,0.74050977097937,0.807385350060245,0.951607136165289,1.11947248068084
SC,113,1,36,1,3.4,4.33,1.6632653061224478,2.3633673469387753,0.685489808074644,0.803514076368531,0.839397502728229,1.10845075603066
AO,114,2,62,1,5.41,4.4,0.6294897959183667,1.4693877551020411,0.674851381295938,0.729956739460265,0.81959867330632,0.928634755350875
FA_TOT,114,2,62,1,4.465,4.227500000000001,1.2525376884422113,1.9291394472361831,0.719115476443338,0.837706439831235,0.90581077148766,1.21343338890819
SC,114,2,62,1,4.78,3.85,1.8077551020408171,2.8188775510204076,0.911848675972407,0.918507626454409,1.53838550860838,1.57939672257792
