Item_2,Value,FamId,is_repeated
SCENES26,NA,100,2
SCENES27,5,100,2
SCENES21,7,100,1
SCENES40,5,100,1
SCENES50,6,100,1
SCENES39,1,100,2
SCENES31,NA,100,2
SCENES19,NA,100,2
SCENES40,NA,100,2
SCENES38,1,100,1
SCENES45,NA,100,2
SCENES35,NA,100,2
SCENES25,1,100,1
SCENES47,6,100,2
SCENES1,NA,100,2
SCENES13,6,100,1
SCENES23,1,100,1
SCENES3,1,100,1
SCENES23,NA,100,2
SCENES32,2,100,1
SCENES36,2,100,1
SCENES6,2,100,2
SCENES5,NA,100,2
SCENES34,5,100,1
SCENES29,NA,100,2
SCENES17,5,100,1
SCENES7,6,100,1
SCENES44,NA,100,2
SCENES46,6,100,1
SCENES8,6,100,1
SCENES24,1,100,2
SCENES24,1,100,1
SCENES10,6,100,1
SCENES4,NA,100,2
SCENES48,NA,100,2
SCENES41,NA,100,2
SCENES49,NA,100,2
SCENES37,7,100,1
SCENES42,2,100,1
SCENES5,7,100,1
SCENES14,NA,100,2
SCENES14,6,100,1
SCENES29,7,100,1
SCENES8,NA,100,2
SCENES28,NA,100,2
SCENES47,6,100,1
SCENES36,2,100,2
SCENES7,NA,100,2
SCENES35,1,100,1
SCENES10,NA,100,2
SCENES18,1,100,1
SCENES26,2,100,1
SCENES45,2,100,1
SCENES18,1,100,2
SCENES31,6,100,1
SCENES41,2,100,1
SCENES2,NA,100,2
SCENES46,NA,100,2
SCENES21,7,100,2
SCENES19,1,100,1
SCENES33,6,100,2
SCENES30,6,100,2
SCENES34,NA,100,2
SCENES1,5,100,1
SCENES4,7,100,1
SCENES25,NA,100,2
SCENES48,1,100,1
SCENES49,2,100,1
SCENES30,6,100,1
SCENES6,2,100,1
SCENES43,1,100,2
SCENES2,1,100,1
SCENES22,1,100,1
SCENES9,7,100,2
SCENES28,7,100,1
SCENES4,NA,101,2
SCENES41,NA,101,2
SCENES37,4,101,1
SCENES15,5,101,1
SCENES46,NA,101,2
SCENES9,4,101,1
SCENES47,5,101,2
SCENES27,5,101,2
SCENES33,4,101,1
SCENES24,3,101,2
SCENES39,4,101,1
SCENES43,4,101,1
SCENES3,4,101,2
SCENES5,5,101,1
SCENES15,5,101,2
SCENES32,4,101,1
SCENES12,3,101,2
SCENES11,2,101,1
SCENES34,NA,101,2
SCENES4,4,101,1
SCENES45,4,101,1
SCENES18,2,101,1
SCENES3,3,101,1
SCENES34,4,101,1
SCENES48,4,101,1
SCENES36,4,101,1
SCENES40,NA,101,2
SCENES31,6,101,1
SCENES44,NA,101,2
SCENES13,NA,101,2
SCENES20,NA,101,2
SCENES21,6,101,1
SCENES48,NA,101,2
SCENES46,6,101,1
SCENES8,NA,101,2
SCENES27,5,101,1
SCENES16,5,101,1
SCENES20,3,101,1
SCENES28,6,101,1
SCENES17,NA,101,2
SCENES41,4,101,1
SCENES6,4,101,2
SCENES43,3,101,2
SCENES40,6,101,1
SCENES47,6,101,1
SCENES45,NA,101,2
SCENES14,5,101,1
SCENES22,NA,101,2
SCENES49,4,101,1
SCENES37,NA,101,2
SCENES24,3,101,1
SCENES11,NA,101,2
SCENES38,4,101,1
SCENES39,3,101,2
SCENES49,NA,101,2
SCENES23,3,101,1
SCENES25,NA,101,2
SCENES33,3,101,2
SCENES1,NA,101,2
SCENES1,5,101,1
SCENES36,3,101,2
SCENES7,5,101,1
SCENES31,NA,101,2
SCENES26,3,101,1
SCENES32,NA,101,2
SCENES42,4,101,1
SCENES18,3,101,2
SCENES35,NA,101,2
SCENES14,NA,101,2
SCENES30,5,101,2
SCENES21,5,101,2
SCENES12,2,101,1
SCENES42,NA,101,2
SCENES28,NA,101,2
SCENES26,NA,101,2
SCENES2,NA,101,2
SCENES13,4,101,1
SCENES50,6,101,1
SCENES5,NA,101,2
SCENES16,NA,101,2
SCENES7,NA,101,2
SCENES9,3,101,2
SCENES38,NA,101,2
SCENES10,5,101,1
SCENES10,NA,101,2
SCENES2,4,101,1
SCENES6,3,101,1
SCENES30,4,101,1
SCENES23,NA,101,2
SCENES29,NA,101,2
SCENES19,NA,101,2
SCENES50,NA,101,2
SCENES35,4,101,1
SCENES8,4,101,1
SCENES19,2,101,1
SCENES25,3,101,1
SCENES17,2,101,1
SCENES22,3,101,1
SCENES44,6,101,1
SCENES29,6,101,1
SCENES43,2,103,1
SCENES39,3,103,1
SCENES13,NA,103,2
SCENES33,5,103,1
SCENES2,NA,103,2
SCENES3,2,103,2
SCENES48,NA,103,2
SCENES24,2,103,2
SCENES16,NA,103,2
SCENES50,4,103,1
SCENES4,4,103,1
SCENES1,NA,103,2
SCENES46,NA,103,2
SCENES12,5,103,2
SCENES11,NA,103,2
SCENES28,5,103,1
SCENES38,2,103,1
SCENES36,3,103,1
SCENES26,2,103,1
SCENES23,3,103,1
SCENES22,2,103,1
SCENES45,NA,103,2
SCENES25,NA,103,2
SCENES28,NA,103,2
SCENES49,4,103,1
SCENES10,5,103,1
SCENES50,NA,103,2
SCENES17,3,103,1
SCENES38,NA,103,2
SCENES47,4,103,2
SCENES25,2,103,1
SCENES8,4,103,1
SCENES3,3,103,1
SCENES37,NA,103,2
SCENES41,NA,103,2
SCENES15,6,103,2
SCENES12,5,103,1
SCENES29,5,103,1
SCENES26,NA,103,2
SCENES31,5,103,1
SCENES22,NA,103,2
SCENES14,NA,103,2
SCENES15,6,103,1
SCENES40,5,103,1
SCENES44,NA,103,2
SCENES14,5,103,1
SCENES37,4,103,1
SCENES41,2,103,1
SCENES49,NA,103,2
SCENES9,5,103,1
SCENES23,NA,103,2
SCENES34,NA,103,2
SCENES6,3,103,1
SCENES45,4,103,1
SCENES35,NA,103,2
SCENES42,2,103,1
SCENES10,NA,103,2
SCENES5,5,103,1
SCENES27,5,103,1
SCENES34,3,103,1
SCENES2,4,103,1
SCENES6,2,103,2
SCENES11,4,103,1
SCENES27,5,103,2
SCENES13,5,103,1
SCENES18,2,103,2
SCENES39,2,103,2
SCENES21,5,103,2
SCENES17,NA,103,2
SCENES24,3,103,1
SCENES7,3,103,1
SCENES7,NA,103,2
SCENES19,NA,103,2
SCENES19,3,103,1
SCENES1,4,103,1
SCENES48,3,103,1
SCENES35,2,103,1
SCENES20,3,103,1
SCENES18,3,103,1
SCENES29,NA,103,2
SCENES42,NA,103,2
SCENES44,4,103,1
SCENES40,NA,103,2
SCENES32,NA,103,2
SCENES8,NA,103,2
SCENES47,5,103,1
SCENES30,5,103,2
SCENES4,NA,103,2
SCENES36,2,103,2
SCENES20,NA,103,2
SCENES32,3,103,1
SCENES9,5,103,2
